NAME,age.group,pop,pop.pct
"Emerald Lake Hills CDP, California",age.18.64,2800,0.6094906399651719
"Emerald Lake Hills CDP, California",age.65.99,839,0.1826295167609926
"Blythe city, California",age.0.17,4221,0.2155661100045963
"Blythe city, California",age.18.64,13471,0.6879628211020887
"Blythe city, California",age.65.99,1889,0.09647106889331494
"Woodside town, California",age.0.17,1363,0.24598447933585996
"Woodside town, California",age.18.64,2891,0.5217469770799494
"Woodside town, California",age.65.99,1287,0.23226854358419058
"Buttonwillow CDP, California",age.0.17,701,0.4406033940917662
"Buttonwillow CDP, California",age.18.64,793,0.4984286612193589
"Buttonwillow CDP, California",age.65.99,97,0.06096794468887492
"Ripley CDP, California",age.0.17,123,0.3014705882352941
"Ripley CDP, California",age.18.64,193,0.4730392156862745
"Ripley CDP, California",age.65.99,92,0.22549019607843138
"River Pines CDP, California",age.0.17,33,0.054365733113673806
"River Pines CDP, California",age.18.64,369,0.6079077429983526
"River Pines CDP, California",age.65.99,205,0.33772652388797364
"Robbins CDP, California",age.0.17,62,0.19314641744548286
"Robbins CDP, California",age.18.64,210,0.6542056074766355
"Robbins CDP, California",age.65.99,49,0.1526479750778816
"Robinson Mill CDP, California",age.0.17,0,0
"Robinson Mill CDP, California",age.18.64,19,0.5428571428571428
"Robinson Mill CDP, California",age.65.99,16,0.45714285714285713
"Rodriguez Camp CDP, California",age.0.17,20,0.22988505747126436
"Rodriguez Camp CDP, California",age.18.64,60,0.6896551724137931
"Rodriguez Camp CDP, California",age.65.99,7,0.08045977011494253
"Rolling Hills CDP, California",age.0.17,184,0.20535714285714285
"Rolling Hills CDP, California",age.18.64,458,0.5111607142857143
"Rolling Hills CDP, California",age.65.99,254,0.28348214285714285
"Rose Hills CDP, California",age.0.17,469,0.17955589586523737
"Rose Hills CDP, California",age.18.64,1747,0.6688361408882083
"Rose Hills CDP, California",age.65.99,396,0.15160796324655437
"Rough and Ready CDP, California",age.0.17,214,0.2584541062801932
"Rough and Ready CDP, California",age.18.64,290,0.3502415458937198
"Rough and Ready CDP, California",age.65.99,324,0.391304347826087
"Rouse CDP, California",age.0.17,940,0.3884297520661157
"Rouse CDP, California",age.18.64,1350,0.5578512396694215
"Rouse CDP, California",age.65.99,130,0.05371900826446281
"Ruth CDP, California",age.0.17,5,0.034482758620689655
"Ruth CDP, California",age.18.64,93,0.6413793103448275
"Ruth CDP, California",age.65.99,47,0.32413793103448274
"Rutherford CDP, California",age.0.17,10,0.1388888888888889
"Rutherford CDP, California",age.18.64,33,0.4583333333333333
"Rutherford CDP, California",age.65.99,29,0.4027777777777778
"Salmon Creek CDP, California",age.0.17,0,0
"Salmon Creek CDP, California",age.18.64,0,0
"Salmon Creek CDP, California",age.65.99,20,1
"Samoa CDP, California",age.0.17,45,0.15845070422535212
"Samoa CDP, California",age.18.64,215,0.7570422535211268
"Samoa CDP, California",age.65.99,24,0.08450704225352113
"San Miguel CDP (Contra Costa County), California",age.0.17,716,0.2392248580020047
"San Miguel CDP (Contra Costa County), California",age.18.64,1702,0.5686602071500167
"San Miguel CDP (Contra Costa County), California",age.65.99,575,0.19211493484797862
"San Miguel CDP (San Luis Obispo County), California",age.0.17,1003,0.35732098325614536
"San Miguel CDP (San Luis Obispo County), California",age.18.64,1640,0.5842536515853224
"San Miguel CDP (San Luis Obispo County), California",age.65.99,164,0.05842536515853224
"San Pasqual CDP, California",age.0.17,299,0.15476190476190477
"San Pasqual CDP, California",age.18.64,1278,0.6614906832298136
"San Pasqual CDP, California",age.65.99,355,0.18374741200828157
"San Simeon CDP, California",age.0.17,157,0.2692967409948542
"San Simeon CDP, California",age.18.64,347,0.5951972555746141
"San Simeon CDP, California",age.65.99,79,0.13550600343053174
"Santa Margarita CDP, California",age.0.17,263,0.21006389776357828
"Santa Margarita CDP, California",age.18.64,924,0.7380191693290735
"Santa Margarita CDP, California",age.65.99,65,0.051916932907348244
"Santa Nella CDP, California",age.0.17,915,0.36483253588516745
"Santa Nella CDP, California",age.18.64,1394,0.5558213716108453
"Santa Nella CDP, California",age.65.99,199,0.07934609250398723
